id,date,target
AS14.15,2014-04-14,7.0
AS14.15,2014-04-15,7.0
AS14.15,2014-04-16,7.0
AS14.15,2014-04-17,6.4
AS14.15,2014-04-18,6.0
AS14.15,2014-04-19,7.0
AS14.15,2014-04-20,7.0
AS14.15,2014-04-21,7.2
AS14.15,2014-04-22,7.0
AS14.15,2014-04-23,7.0
AS14.15,2014-04-24,7.0
AS14.15,2014-04-25,7.0
AS14.15,2014-04-26,6.2
AS14.15,2014-04-27,7.0
AS14.15,2014-04-28,7.0
AS14.15,2014-04-29,7.0
AS14.15,2014-04-30,6.0
AS14.15,2014-05-01,6.6
AS14.15,2014-05-02,7.0
AS14.15,2014-05-03,6.8
AS14.15,2014-05-04,7.0
AS14.15,2014-05-05,7.0
AS14.15,2014-05-06,7.0
AS14.15,2014-05-07,7.0
AS14.15,2014-05-08,7.0
AS14.16,2014-03-22,6.5
AS14.16,2014-03-23,7.0
AS14.16,2014-03-24,6.4
AS14.16,2014-03-25,6.0
AS14.16,2014-03-26,5.6
AS14.16,2014-03-27,6.0
AS14.16,2014-03-28,6.5
AS14.16,2014-03-29,6.0
AS14.16,2014-03-30,5.4
AS14.16,2014-03-31,6.0
AS14.16,2014-04-01,5.8
AS14.16,2014-04-02,6.4
AS14.16,2014-04-03,6.25
AS14.16,2014-04-04,6.2
AS14.16,2014-04-05,7.0
AS14.16,2014-04-06,6.75
AS14.16,2014-04-07,7.0
AS14.16,2014-04-08,6.4
AS14.16,2014-04-09,7.2
AS14.16,2014-04-10,6.6
AS14.16,2014-04-11,7.0
AS14.16,2014-04-12,7.0
AS14.16,2014-04-13,6.4
AS14.16,2014-04-14,7.0
AS14.16,2014-04-15,6.6
AS14.16,2014-04-16,7.25
AS14.16,2014-04-17,7.0
AS14.16,2014-04-18,6.8
AS14.16,2014-04-19,7.2
AS14.16,2014-04-20,7.0
AS14.16,2014-04-21,7.25
AS14.16,2014-04-22,6.6
AS14.16,2014-04-23,7.25
AS14.16,2014-04-24,5.4
AS14.16,2014-04-25,7.2
AS14.16,2014-04-26,6.75
AS14.16,2014-04-27,7.2
AS14.16,2014-04-28,8.0
AS14.16,2014-04-29,7.0
AS14.16,2014-04-30,7.0
AS14.16,2014-05-01,7.0
AS14.16,2014-05-02,8.0
AS14.16,2014-05-03,7.5
AS14.16,2014-05-04,7.0
AS14.16,2014-05-05,7.333333333333333
AS14.17,2014-03-26,7.2
AS14.17,2014-03-27,7.2
AS14.17,2014-03-28,7.2
AS14.17,2014-03-29,6.8
AS14.17,2014-03-30,8.0
AS14.17,2014-03-31,7.25
AS14.17,2014-04-01,7.4
AS14.17,2014-04-02,7.5
AS14.17,2014-04-03,7.2
